url	words
https://github.com/ahungry/janet-p99-map	
https://github.com/ahungry/janet-pobox	
https://github.com/ahungry/janet-sig-handlers	
https://github.com/ahungry/janet-xbuild	
https://github.com/ahungry/puny-gui	
https://github.com/ahungry/puny-server	
https://github.com/andrewchambers/hermes	
https://github.com/andrewchambers/hm	
https://github.com/andrewchambers/hpkg	
https://github.com/andrewchambers/janet-ahttp	http
https://github.com/andrewchambers/janet-bare1	
https://github.com/andrewchambers/janet-base16	base16
https://github.com/andrewchambers/janet-big	
https://github.com/andrewchambers/janet-bytefmt	
https://github.com/andrewchambers/janet-cloader	
https://github.com/andrewchambers/janet-ctrl-c	
https://github.com/andrewchambers/janet-flock	flock
https://github.com/andrewchambers/janet-glob	glob
https://github.com/andrewchambers/janet-httpkit	http
https://github.com/andrewchambers/janet-jcjit	
https://github.com/andrewchambers/janet-jdn	jdn
https://github.com/andrewchambers/janet-logfmt	
https://github.com/andrewchambers/janet-md-doc	
https://github.com/andrewchambers/janet-nested-text	nestedtext
https://github.com/andrewchambers/janet-pgjobq	jobq|postgres|redis
https://github.com/andrewchambers/janet-pgjobq2	jobq|postgres|redis
https://github.com/andrewchambers/janet-pgmigrate	postgres
https://github.com/andrewchambers/janet-pico-http-parser	http
https://github.com/andrewchambers/janet-posix-spawn	posix spawn
https://github.com/andrewchambers/janet-pq	libpq
https://github.com/andrewchambers/janet-process	
https://github.com/andrewchambers/janet-redis	redis
https://github.com/andrewchambers/janet-redo	redo
https://github.com/andrewchambers/janet-rlrepl	
https://github.com/andrewchambers/janet-sh	
https://github.com/andrewchambers/janet-shlex	
https://github.com/andrewchambers/janet-tmppg	postgres
https://github.com/andrewchambers/janet-unify	
https://github.com/andrewchambers/janet-uri	uri
https://github.com/andrewchambers/janet-utf8	utf8
https://github.com/andrewchambers/janet-where-defined	
https://github.com/andrewchambers/janet-xcore	
https://github.com/andrewchambers/janet-yacc	
https://github.com/andrewchambers/janetsh	shell
https://github.com/andrewchambers/jfmt	
https://github.com/andrewchambers/jpm-to-hermes	
https://github.com/andrewchambers/plumbtool	
https://github.com/andrewchambers/poolparty	
https://github.com/bakpakin/janet-miniz	miniz
https://github.com/bakpakin/littleserver	
https://github.com/bakpakin/mendoza	static site generator
https://github.com/bakpakin/x43bot	irc
https://github.com/beleon/mustache-janet	mustache
https://github.com/bitcompost/janet-pledge	
https://github.com/brandonchartier/janet-html	html
https://github.com/brandonchartier/janet-irc-client	irc|client
https://github.com/brandonchartier/janet-queue	
https://github.com/brandonchartier/janet-url	url
https://github.com/brandonchartier/janet-uuid	uuid
https://github.com/brandonchartier/jobot	irc
https://github.com/bunder/janet-primesieve	primesieve
https://github.com/ceigey/textgame-janet-protoype	
https://github.com/cellularmitosis/janet-lzo	lzo|compression
https://github.com/cendyne/bread	
https://github.com/cendyne/image-processor	
https://github.com/cendyne/little-queue	
https://github.com/cendyne/simple-janet-crypto	
https://github.com/cfoust/cy	
https://github.com/chamaeleon/janet-bigz	
https://github.com/chamaeleon/janet-md5	md5|digest
https://github.com/chamaeleon/janet-plplot	
https://github.com/chazu/jetris	game|tetris
https://github.com/chris-chambers/effuse	
https://github.com/cideM/aoc2024-janet	advent of code
https://github.com/cideM/janet-hsluv	hsluv
https://github.com/cmiles74/bencode	bencode
https://github.com/coast-framework/coast-cli	
https://github.com/corasaurus-hex/isatty	isatty
https://github.com/corasaurus-hex/janet-sequence-cursor	
https://github.com/corasaurus-hex/pull-all	git
https://github.com/cosmictoast/janet-date	c99 date
https://github.com/cosmictoast/janet-kargs	
https://github.com/cosmictoast/jurl	curl
https://github.com/czkz/janet-evemu	
https://github.com/dabeaz/ranet	
https://github.com/dalygbarron/kowari	
https://github.com/dalygbarron/pingo	
https://github.com/danielschleindlsperger/atobtoa	
https://github.com/danielschleindlsperger/speed-series	
https://github.com/dawranliou/vigilant-ducky	
https://github.com/dbridges/janet-util	
https://github.com/dbridges/jty	
https://github.com/dfuenzalida/janet-hello-world	
https://github.com/dghaehre/check-duplicate-probability	
https://github.com/dghaehre/fish-env	
https://github.com/dghaehre/gp-router	
https://github.com/dghaehre/janet-utils	
https://github.com/dghaehre/raspberry-stats	
https://github.com/dghaehre/taskwarriorweb	
https://github.com/dghaehre/todo	
https://github.com/dghaehre/todoist-history	
https://github.com/disruptek/jay	
https://github.com/disruptek/slay-ir	
https://github.com/dlej/janet-heapq	
https://github.com/dlisboa/janet-slog	
https://github.com/dracconi/yanka	
https://github.com/dressupgeekout/janet-linenoise	
https://github.com/eko234/janet-html	
https://github.com/escherize/janet-survivors	
https://github.com/felixr/advent-of-code	advent of code
https://github.com/felixr/janet-benchmarks	benchmark
https://github.com/felixr/janet-notes	
https://github.com/funatsufumiya/janet-interactive-repl-demos	repl
https://github.com/gamma-delta/coq-build-toolkit	
https://github.com/good-place/chidi	
https://github.com/good-place/mansion	
https://github.com/good-place/neil	
https://github.com/good-place/shawn	
https://github.com/good-place/tahani	
https://github.com/good-place/trolley	
https://github.com/goto-engineering/blackjack	game|blackjack
https://github.com/goto-engineering/jack	
https://github.com/greenfork/jzignet	zig
https://github.com/greenfork/thehouse	
https://github.com/gwegash/trane	audio
https://github.com/hackberrydev/alas	
https://github.com/heyarne/arylic-uart-tcp-cli	tcp
https://github.com/heycalmdown/janet-brew-ls	
https://github.com/heycalmdown/janet-notion-helper	
https://github.com/heycalmdown/janet-whooing-helper	
https://github.com/hl/eden	
https://github.com/iacore/janet-graphical-repl	
https://github.com/ianthehenry/aoc-2023	advent of code
https://github.com/ianthehenry/banquet	
https://github.com/ianthehenry/bauble	
https://github.com/ianthehenry/bauble.studio	
https://github.com/ianthehenry/bytemap	
https://github.com/ianthehenry/cmd	
https://github.com/ianthehenry/cmp	
https://github.com/ianthehenry/heap	
https://github.com/ianthehenry/janet-clipper	
https://github.com/ianthehenry/janet-cross-compile	
https://github.com/ianthehenry/janet-midi	
https://github.com/ianthehenry/janet-module	
https://github.com/ianthehenry/janet-whereami	whereami
https://github.com/ianthehenry/jimmy	
https://github.com/ianthehenry/judge	testing
https://github.com/ianthehenry/macaroni	
https://github.com/ianthehenry/pat	
https://github.com/ianthehenry/square	
https://github.com/ianthehenry/steno	
https://github.com/ianthehenry/to-do	
https://github.com/ianthehenry/toodle.studio	
https://github.com/ikarius/bencode	
https://github.com/ishehadeh/janet-format	
https://github.com/jackpipe/prime-fun-janet	
https://github.com/janet-lang/argparse	
https://github.com/janet-lang/circlet	web server
https://github.com/janet-lang/janet	
https://github.com/janet-lang/janet-lang.org	janet website
https://github.com/janet-lang/janetui	libui
https://github.com/janet-lang/jaylib	raylib
https://github.com/janet-lang/jhydro	libhydrogen
https://github.com/janet-lang/jpm	
https://github.com/janet-lang/json	json
https://github.com/janet-lang/juv	libuv
https://github.com/janet-lang/path	
https://github.com/janet-lang/pkgs	
https://github.com/janet-lang/spork	
https://github.com/janet-lang/sqlite3	sqlite
https://github.com/janet-lang/tarray	
https://github.com/janet-lang/webview	
https://github.com/jcpsantiago/hazal	sagemaker
https://github.com/jeannekamikaze/janet-filesystem	
https://github.com/jeannekamikaze/webgen	
https://github.com/jfcap/janet-luajit	lua
https://github.com/jjkh/aoc-2023	advent of code
https://github.com/joeatwork/clio	
https://github.com/johanwiren/janet-lambda-example	
https://github.com/johanwiren/janet-lambda-runtime	
https://github.com/joy-framework/bundler	
https://github.com/joy-framework/cipher	
https://github.com/joy-framework/codec	
https://github.com/joy-framework/db	
https://github.com/joy-framework/dotenv	
https://github.com/joy-framework/example-todos	
https://github.com/joy-framework/halo	
https://github.com/joy-framework/halo2	
https://github.com/joy-framework/http	http
https://github.com/joy-framework/joy	
https://github.com/joy-framework/joy-framework.github.io	
https://github.com/joy-framework/joyframework.com	
https://github.com/joy-framework/moondown	
https://github.com/joy-framework/suresql	
https://github.com/joy-framework/tester	testing
https://github.com/joy-framework/uuid	uuid
